Sr No,Time ,MI_Match No,Opposite Team,Match_City,Match_Month,Match_Date,Match Type,Toss,Batting Sequence,Match Score,Match_Stadium,Captain,Head Coach,No of Blowers,No of All Rounders,No of Batsman,Umpire_Sundaram Ravi,Umpire_Anil Chaudhary,Umpire_Nitin Menon,Umpire_Kumar Dharmasena,Umpire_Chris Gaffaney,Umpire_Others,Result
1,D/N,2,Others,Mumbai,May,Odd,Home,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,4,2,4,0,0,0,0,0,1,Win
2,N,3,SRH,Mumbai,May,Even,Home,Lost,2,4,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,3,2,5,0,0,1,0,0,1,Win
3,N,4,Others,Mumbai,May,Odd,Home,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,4,2,4,0,0,1,0,0,1,Win
4,N,5,Others,Mumbai,Apr,Even,Home,Lost,1,4,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,4,3,3,0,0,0,0,0,1,Win
5,N,6,RCB,Mumbai,Apr,Even,Home,Won,2,4,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,3,3,4,0,1,0,0,1,1,Lost
6,D/N,7,CSK,Mumbai,Apr,Even,Home,Won,2,3,"Wankhede Stadium, Mumbai",Others,Mark Boucher,3,3,4,0,0,0,0,0,1,Win
7,N,8,Others,Mumbai,Apr,Even,Home,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,3,3,4,0,1,0,0,1,1,Lost
8,D/N,9,RR,Mumbai,Apr,Even,Home,Won,2,3,Others,Rohit Sharma,Mark Boucher,4,3,3,0,0,1,0,0,1,Lost
9,N,10,Others,Others,Apr,Odd,Home,Won,2,3,Others,Rohit Sharma,Mark Boucher,5,3,2,0,0,0,0,0,1,Lost
10,D/N,11,Others,Mumbai,Apr,Even,Home,Won,2,3,Others,Rohit Sharma,Mark Boucher,4,4,2,0,1,0,0,0,1,Lost
11,N,12,SRH,Mumbai,Apr,Odd,Home,Lost,2,3,Others,Rohit Sharma,Mark Boucher,4,4,2,0,0,0,0,0,1,Lost
12,N,13,KKR,Mumbai,May,Odd,Home,Won,2,3,Others,Rohit Sharma,Mark Boucher,4,3,3,0,0,0,0,1,1,Lost
13,N,14,DC,Mumbai,May,Odd,Home,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,3,3,4,0,0,0,0,1,1,Lost
14,N,15,CSK,Mumbai,May,Odd,Home,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,4,3,3,0,0,1,0,0,1,Win
15,D/N,1,RCB,Others,Oct,Even,Home,Lost,2,2,Others,Rohit Sharma,Mark Boucher,3,4,3,0,0,1,0,0,1,Lost
16,N,2,DC,Others,Sep,Even,Home,Won,2,2,Others,Rohit Sharma,Mahela Jayawardene,3,4,3,1,0,0,0,0,1,Win
17,N,3,RR,Others,Sep,Odd,Home,Lost,2,3,Others,Rohit Sharma,Mahela Jayawardene,4,2,4,1,0,0,0,1,1,Lost
18,N,4,KKR,Delhi,May,Odd,Home,Won,2,4,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Mahela Jayawardene,4,4,2,0,0,0,0,1,1,Win
19,D/N,5,RCB,Delhi,Apr,Odd,Home,Won,2,3,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Mahela Jayawardene,4,4,2,0,0,0,0,1,1,Win
20,N,6,Others,Chennai,Apr,Odd,Home,Won,1,2,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,Mahela Jayawardene,4,3,3,0,0,0,0,1,1,Win
21,N,7,Others,Chennai,Apr,Odd,Home,Lost,2,3,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,Mahela Jayawardene,3,4,3,0,0,1,0,0,1,Lost
22,N,8,CSK,Others,Sep,Odd,Home,Lost,2,3,Others,Rohit Sharma,Mahela Jayawardene,4,3,3,1,0,0,0,1,1,Lost
23,,9,Others,Others,Oct,Even,Home,Won,1,4,Others,Rohit Sharma,Mahela Jayawardene,4,3,3,0,0,0,0,0,1,Win
24,N,10,RR,Others,Oct,Even,Home,Won,1,3,Others,Rohit Sharma,Mahela Jayawardene,4,3,3,1,0,0,0,1,1,Win
25,N,11,Others,Others,Oct,Odd,Home,Lost,1,3,Others,Rohit Sharma,Mahela Jayawardene,4,3,3,1,0,0,0,1,1,Win
