Time ,Opposite Team,Toss,Batting Sequence,Match Score,Match_Stadium,Captain,Head Coach,No of Blowers,No of All Rounders,No of Batsman,Result
D/N,OTHERS,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,4,2,4,Win
N,SRH,Lost,2,4,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,3,2,5,Win
N,OTHERS,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,4,2,4,Win
N,OTHERS,Lost,1,4,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,4,3,3,Win
N,RCB,Won,2,4,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,3,3,4,Lost
D/N,CSK,Won,2,3,"Wankhede Stadium, Mumbai",OTHERS,Mark Boucher,3,3,4,Win
N,OTHERS,Lost,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,3,3,4,Lost
D/N,RR,Won,2,3,OTHERS,Rohit Sharma,Mark Boucher,4,3,3,Lost
N,OTHERS,Won,2,3,OTHERS,Rohit Sharma,Mark Boucher,5,3,2,Lost
D/N,OTHERS,Won,2,3,OTHERS,Rohit Sharma,Mark Boucher,4,4,2,Lost
N,SRH,Lost,2,3,OTHERS,Rohit Sharma,Mark Boucher,4,4,2,Lost
N,KKR,Won,2,3,OTHERS,Rohit Sharma,Mark Boucher,4,3,3,Lost
N,DC,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,3,3,4,Lost
N,CSK,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Mark Boucher,4,3,3,Win
D/N,RCB,Lost,2,2,OTHERS,Rohit Sharma,Mark Boucher,3,4,3,Lost
N,DC,Won,2,2,OTHERS,Rohit Sharma,Mahela Jayawardene,3,4,3,Win
N,RR,Lost,2,3,OTHERS,Rohit Sharma,Mahela Jayawardene,4,2,4,Lost
